trial_idx,trial_name,neighbor_rank,neighbor_idx,neighbor_name,similarity_score
6,"Comparing Two Methods of Delivering ThinkRx Cognitive Training
to Children Ages 8–14: a Randomized Controlled Trial of Equivalency",1,35,"Targeting brain health in subjective cognitive decline: insights
from a multidomain randomized controlled trial",0.7219538539937954
6,"Comparing Two Methods of Delivering ThinkRx Cognitive Training
to Children Ages 8–14: a Randomized Controlled Trial of Equivalency",2,14,The effect of Snoezelen intervention on problem behaviors in children with cerebral palsy: A randomized controlled trial,0.6872428919336663
6,"Comparing Two Methods of Delivering ThinkRx Cognitive Training
to Children Ages 8–14: a Randomized Controlled Trial of Equivalency",3,47," Closing the Achievement Gap through Modification of
Neurocognitive and Neuroendocrine Function: Results
from a Cluster Randomized Controlled Trial of an
Innovative Approach to the Education of Children in
Kindergarten",0.6785040594780292
6,"Comparing Two Methods of Delivering ThinkRx Cognitive Training
to Children Ages 8–14: a Randomized Controlled Trial of Equivalency",4,32,"Reducing therapeutic misconception: A
randomized intervention trial in hypothetical
clinical trials",0.6573048269095154
6,"Comparing Two Methods of Delivering ThinkRx Cognitive Training
to Children Ages 8–14: a Randomized Controlled Trial of Equivalency",5,11,"Two-year impact of community-based health
screening and parenting groups on child
development in Zambia: Follow-up to a
cluster-randomized controlled trial",0.6361250780620374
7,Evaluation of Ivermectin as a Potential Treatment for Mild to Moderate COVID-19:  A Double-BlindRandomized  Placebo  Controlled  Trialin Eastern India,1,1,Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial,0.7366013407358095
7,Evaluation of Ivermectin as a Potential Treatment for Mild to Moderate COVID-19:  A Double-BlindRandomized  Placebo  Controlled  Trialin Eastern India,2,13,"A telerehabilitation programme in post-discharge
COVID-19 patients (TERECO): a randomised
controlled trial",0.6163118800123131
7,Evaluation of Ivermectin as a Potential Treatment for Mild to Moderate COVID-19:  A Double-BlindRandomized  Placebo  Controlled  Trialin Eastern India,3,31,Exploratory data on the clinical efficacy of monoclonal antibodies against SARS-CoV-2 Omicron variant of concern,0.6121013769481165
7,Evaluation of Ivermectin as a Potential Treatment for Mild to Moderate COVID-19:  A Double-BlindRandomized  Placebo  Controlled  Trialin Eastern India,4,20,Computer-aided X-ray screening for tuberculosis and HIV testing among adults with cough in Malawi (the PROSPECT study): A randomised trial and cost-effectiveness analysis,0.6066940868004256
7,Evaluation of Ivermectin as a Potential Treatment for Mild to Moderate COVID-19:  A Double-BlindRandomized  Placebo  Controlled  Trialin Eastern India,5,33,A randomized synbiotic trial to prevent sepsis among infants in rural India,0.5996669730808323
8,"Umbilical vein oxytocin for the treatment of retained
placenta (Release Study): a double-blind, randomised
controlled trial",1,12,"Does route matter? Impact of route of oxytocin administration on postpartum bleeding: A double-blind, randomized controlled trial",0.6673693943899597
8,"Umbilical vein oxytocin for the treatment of retained
placenta (Release Study): a double-blind, randomised
controlled trial",2,26,"Impact of the modality of mechanical ventilation
on bleeding during pituitary surgery
A single blinded randomized trial",0.6212714981408913
8,"Umbilical vein oxytocin for the treatment of retained
placenta (Release Study): a double-blind, randomised
controlled trial",3,43,"Influence of needle-insertion depth on epidural
spread and clinical outcomes in caudal epidural
injections: a randomized clinical trial",0.6013175216243545
8,"Umbilical vein oxytocin for the treatment of retained
placenta (Release Study): a double-blind, randomised
controlled trial",4,23,"Auriculotherapy in the prevention of postoperative urinary retention in patients with thoracotomy and thoracic epidural analgesia
A randomized, double-blinded trial",0.5971791843383768
8,"Umbilical vein oxytocin for the treatment of retained
placenta (Release Study): a double-blind, randomised
controlled trial",5,36,"A Randomized Trial of Rectal Indomethacin
to Prevent Post-ERCP Pancreatitis",0.5623410245947097
9,"Influence of videolaryngoscopy using
McGrath Mac on the need for a helper
to perform intubation during general
anaesthesia: a multicentre randomised
video-no-video trial",1,39,"A Randomized Comparison Between the Pentax AWS
Video Laryngoscope and the Macintosh Laryngoscope
in Morbidly Obese Patients",0.7807457575098073
9,"Influence of videolaryngoscopy using
McGrath Mac on the need for a helper
to perform intubation during general
anaesthesia: a multicentre randomised
video-no-video trial",2,26,"Impact of the modality of mechanical ventilation
on bleeding during pituitary surgery
A single blinded randomized trial",0.6675246468259616
9,"Influence of videolaryngoscopy using
McGrath Mac on the need for a helper
to perform intubation during general
anaesthesia: a multicentre randomised
video-no-video trial",3,40,"A Randomized, Double-Blind Comparison
of Licorice Versus Sugar-Water Gargle for
Prevention of Postoperative Sore Throat and
Postextubation Coughing",0.640924954025698
9,"Influence of videolaryngoscopy using
McGrath Mac on the need for a helper
to perform intubation during general
anaesthesia: a multicentre randomised
video-no-video trial",4,46,"Comparison between high-flow
nasal cannula (HFNC) therapy
and noninvasive ventilation (NIV) in children
with acute respiratory failure by bronchiolitis:
a randomized controlled trial",0.6378573039120258
9,"Influence of videolaryngoscopy using
McGrath Mac on the need for a helper
to perform intubation during general
anaesthesia: a multicentre randomised
video-no-video trial",5,23,"Auriculotherapy in the prevention of postoperative urinary retention in patients with thoracotomy and thoracic epidural analgesia
A randomized, double-blinded trial",0.632362977084278
10,"Chlorhexidine oral rinses for symptomatic COPD: a randomised, blind, placebo-controlled preliminary study",1,40,"A Randomized, Double-Blind Comparison
of Licorice Versus Sugar-Water Gargle for
Prevention of Postoperative Sore Throat and
Postextubation Coughing",0.6538928879541258
10,"Chlorhexidine oral rinses for symptomatic COPD: a randomised, blind, placebo-controlled preliminary study",2,24,"Multi-strain probiotics (Hexbio) containing
MCP BCMC strains improved constipation and
gut motility in Parkinson’s disease: A
randomised controlled trial",0.6401423319613209
10,"Chlorhexidine oral rinses for symptomatic COPD: a randomised, blind, placebo-controlled preliminary study",3,20,Computer-aided X-ray screening for tuberculosis and HIV testing among adults with cough in Malawi (the PROSPECT study): A randomised trial and cost-effectiveness analysis,0.6292046030646385
10,"Chlorhexidine oral rinses for symptomatic COPD: a randomised, blind, placebo-controlled preliminary study",4,1,Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial,0.5959545346448035
10,"Chlorhexidine oral rinses for symptomatic COPD: a randomised, blind, placebo-controlled preliminary study",5,33,A randomized synbiotic trial to prevent sepsis among infants in rural India,0.5956360523056653
11,"Two-year impact of community-based health
screening and parenting groups on child
development in Zambia: Follow-up to a
cluster-randomized controlled trial",1,28,Evaluation of a community health worker home visit intervention to improve child development in South Africa: A cluster-randomized controlled trial,0.7855637405339957
11,"Two-year impact of community-based health
screening and parenting groups on child
development in Zambia: Follow-up to a
cluster-randomized controlled trial",2,17,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,0.6749288520453041
11,"Two-year impact of community-based health
screening and parenting groups on child
development in Zambia: Follow-up to a
cluster-randomized controlled trial",3,21,"Detection and initial management of
gestational diabetes through primary health
care services in Morocco: An effectivenessimplementation trial",0.6649489980499099
11,"Two-year impact of community-based health
screening and parenting groups on child
development in Zambia: Follow-up to a
cluster-randomized controlled trial",4,35,"Targeting brain health in subjective cognitive decline: insights
from a multidomain randomized controlled trial",0.6493169325868553
11,"Two-year impact of community-based health
screening and parenting groups on child
development in Zambia: Follow-up to a
cluster-randomized controlled trial",5,27,Effectiveness of community-based health education and home support program to reduce blood pressure among patients with uncontrolled hypertension in Nepal: A cluster-randomized trial,0.647996253651815
12,"Does route matter? Impact of route of oxytocin administration on postpartum bleeding: A double-blind, randomized controlled trial",1,26,"Impact of the modality of mechanical ventilation
on bleeding during pituitary surgery
A single blinded randomized trial",0.6872639290583262
12,"Does route matter? Impact of route of oxytocin administration on postpartum bleeding: A double-blind, randomized controlled trial",2,8,"Umbilical vein oxytocin for the treatment of retained
placenta (Release Study): a double-blind, randomised
controlled trial",0.6673693943899597
12,"Does route matter? Impact of route of oxytocin administration on postpartum bleeding: A double-blind, randomized controlled trial",3,43,"Influence of needle-insertion depth on epidural
spread and clinical outcomes in caudal epidural
injections: a randomized clinical trial",0.6395956288026476
12,"Does route matter? Impact of route of oxytocin administration on postpartum bleeding: A double-blind, randomized controlled trial",4,42,"Treatment of Periodontal Disease
and the Risk of Preterm Birth",0.6173246784118999
12,"Does route matter? Impact of route of oxytocin administration on postpartum bleeding: A double-blind, randomized controlled trial",5,33,A randomized synbiotic trial to prevent sepsis among infants in rural India,0.6150509017893239
13,"A telerehabilitation programme in post-discharge
COVID-19 patients (TERECO): a randomised
controlled trial",1,19,"Effect of ecological momentary assessment,
goal-setting and personalized phone-calls on
adherence to interval walking training using
the InterWalk application among patients with
type 2 diabetes—A pilot randomized
controlled trial",0.655813779443156
13,"A telerehabilitation programme in post-discharge
COVID-19 patients (TERECO): a randomised
controlled trial",2,7,Evaluation of Ivermectin as a Potential Treatment for Mild to Moderate COVID-19:  A Double-BlindRandomized  Placebo  Controlled  Trialin Eastern India,0.6163118800123131
13,"A telerehabilitation programme in post-discharge
COVID-19 patients (TERECO): a randomised
controlled trial",3,35,"Targeting brain health in subjective cognitive decline: insights
from a multidomain randomized controlled trial",0.5935480841535562
13,"A telerehabilitation programme in post-discharge
COVID-19 patients (TERECO): a randomised
controlled trial",4,2,"Electronic health record alerts for acute kidney injury:
multicenter, randomized clinical trial",0.5931382285625573
13,"A telerehabilitation programme in post-discharge
COVID-19 patients (TERECO): a randomised
controlled trial",5,38,Linking alcohol- and drug-dependent adults to primary medical care: a randomized controlled trial of a multi-disciplinary health intervention in a detoxification unit,0.5902075132402619
14,The effect of Snoezelen intervention on problem behaviors in children with cerebral palsy: A randomized controlled trial,1,6,"Comparing Two Methods of Delivering ThinkRx Cognitive Training
to Children Ages 8–14: a Randomized Controlled Trial of Equivalency",0.6872428919336663
14,The effect of Snoezelen intervention on problem behaviors in children with cerebral palsy: A randomized controlled trial,2,47," Closing the Achievement Gap through Modification of
Neurocognitive and Neuroendocrine Function: Results
from a Cluster Randomized Controlled Trial of an
Innovative Approach to the Education of Children in
Kindergarten",0.6320611059010762
14,The effect of Snoezelen intervention on problem behaviors in children with cerebral palsy: A randomized controlled trial,3,35,"Targeting brain health in subjective cognitive decline: insights
from a multidomain randomized controlled trial",0.617712390123221
14,The effect of Snoezelen intervention on problem behaviors in children with cerebral palsy: A randomized controlled trial,4,28,Evaluation of a community health worker home visit intervention to improve child development in South Africa: A cluster-randomized controlled trial,0.6053833954034578
14,The effect of Snoezelen intervention on problem behaviors in children with cerebral palsy: A randomized controlled trial,5,11,"Two-year impact of community-based health
screening and parenting groups on child
development in Zambia: Follow-up to a
cluster-randomized controlled trial",0.5967061312801467
15,"Internet-delivered therapist-guided
physical activity for mild to moderate
depression: a randomized controlled trial",1,29,"A randomized controlled safety and feasibility
trial of floatation-REST in anxious and
depressed individuals",0.6749924467845476
15,"Internet-delivered therapist-guided
physical activity for mild to moderate
depression: a randomized controlled trial",2,19,"Effect of ecological momentary assessment,
goal-setting and personalized phone-calls on
adherence to interval walking training using
the InterWalk application among patients with
type 2 diabetes—A pilot randomized
controlled trial",0.6722045274672135
15,"Internet-delivered therapist-guided
physical activity for mild to moderate
depression: a randomized controlled trial",3,25,"Mobile phone reminders and peer counseling
improve adherence and treatment outcomes
of patients on ART in Malaysia: A randomized
clinical trial",0.6349954115788063
15,"Internet-delivered therapist-guided
physical activity for mild to moderate
depression: a randomized controlled trial",4,6,"Comparing Two Methods of Delivering ThinkRx Cognitive Training
to Children Ages 8–14: a Randomized Controlled Trial of Equivalency",0.5951268133079898
15,"Internet-delivered therapist-guided
physical activity for mild to moderate
depression: a randomized controlled trial",5,44,"Impact of a randomized controlled trial of
discounts on fruits, vegetables, and
noncaloric beverages in NYC supermarkets on
food intake and health risk factors",0.5926008748073386
16,"The Effectiveness and Safety of Intensive Lipid-Lowering with
Different Rosuvastatin-Based Regimens in Patients at High
Cardiovascular Disease Risk: A Nonblind, Randomized, Controlled
Trial",1,5,The Effect of Sitagliptin on Carotid Artery Atherosclerosis in Type 2 Diabetes: The PROLOGUE Randomized Controlled Trial,0.655413239981689
16,"The Effectiveness and Safety of Intensive Lipid-Lowering with
Different Rosuvastatin-Based Regimens in Patients at High
Cardiovascular Disease Risk: A Nonblind, Randomized, Controlled
Trial",2,3,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",0.6459284056317625
16,"The Effectiveness and Safety of Intensive Lipid-Lowering with
Different Rosuvastatin-Based Regimens in Patients at High
Cardiovascular Disease Risk: A Nonblind, Randomized, Controlled
Trial",3,27,Effectiveness of community-based health education and home support program to reduce blood pressure among patients with uncontrolled hypertension in Nepal: A cluster-randomized trial,0.5893603890251979
16,"The Effectiveness and Safety of Intensive Lipid-Lowering with
Different Rosuvastatin-Based Regimens in Patients at High
Cardiovascular Disease Risk: A Nonblind, Randomized, Controlled
Trial",4,4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,0.5874194160593441
16,"The Effectiveness and Safety of Intensive Lipid-Lowering with
Different Rosuvastatin-Based Regimens in Patients at High
Cardiovascular Disease Risk: A Nonblind, Randomized, Controlled
Trial",5,18,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",0.5868292089300847
17,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,1,25,"Mobile phone reminders and peer counseling
improve adherence and treatment outcomes
of patients on ART in Malaysia: A randomized
clinical trial",0.7340279038789301
17,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,2,11,"Two-year impact of community-based health
screening and parenting groups on child
development in Zambia: Follow-up to a
cluster-randomized controlled trial",0.6749288520453041
17,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,3,38,Linking alcohol- and drug-dependent adults to primary medical care: a randomized controlled trial of a multi-disciplinary health intervention in a detoxification unit,0.6733521013482542
17,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,4,20,Computer-aided X-ray screening for tuberculosis and HIV testing among adults with cough in Malawi (the PROSPECT study): A randomised trial and cost-effectiveness analysis,0.6652748639647588
17,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,5,4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,0.6406669882757645
18,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",1,2,"Electronic health record alerts for acute kidney injury:
multicenter, randomized clinical trial",0.6654871537481615
18,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",2,4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,0.6459748841990192
18,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",3,26,"Impact of the modality of mechanical ventilation
on bleeding during pituitary surgery
A single blinded randomized trial",0.6443709554393409
18,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",4,3,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",0.638095837420142
18,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",5,23,"Auriculotherapy in the prevention of postoperative urinary retention in patients with thoracotomy and thoracic epidural analgesia
A randomized, double-blinded trial",0.5989327494002724
19,"Effect of ecological momentary assessment,
goal-setting and personalized phone-calls on
adherence to interval walking training using
the InterWalk application among patients with
type 2 diabetes—A pilot randomized
controlled trial",1,15,"Internet-delivered therapist-guided
physical activity for mild to moderate
depression: a randomized controlled trial",0.6722045274672135
19,"Effect of ecological momentary assessment,
goal-setting and personalized phone-calls on
adherence to interval walking training using
the InterWalk application among patients with
type 2 diabetes—A pilot randomized
controlled trial",2,25,"Mobile phone reminders and peer counseling
improve adherence and treatment outcomes
of patients on ART in Malaysia: A randomized
clinical trial",0.6623759537712826
19,"Effect of ecological momentary assessment,
goal-setting and personalized phone-calls on
adherence to interval walking training using
the InterWalk application among patients with
type 2 diabetes—A pilot randomized
controlled trial",3,13,"A telerehabilitation programme in post-discharge
COVID-19 patients (TERECO): a randomised
controlled trial",0.655813779443156
19,"Effect of ecological momentary assessment,
goal-setting and personalized phone-calls on
adherence to interval walking training using
the InterWalk application among patients with
type 2 diabetes—A pilot randomized
controlled trial",4,34,"Exercise Training and Weight Gain in Obese
Pregnant Women: A Randomized Controlled
Trial (ETIP Trial)",0.6376458653554576
19,"Effect of ecological momentary assessment,
goal-setting and personalized phone-calls on
adherence to interval walking training using
the InterWalk application among patients with
type 2 diabetes—A pilot randomized
controlled trial",5,4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,0.6300170483275682
20,Computer-aided X-ray screening for tuberculosis and HIV testing among adults with cough in Malawi (the PROSPECT study): A randomised trial and cost-effectiveness analysis,1,25,"Mobile phone reminders and peer counseling
improve adherence and treatment outcomes
of patients on ART in Malaysia: A randomized
clinical trial",0.6792145111537368
20,Computer-aided X-ray screening for tuberculosis and HIV testing among adults with cough in Malawi (the PROSPECT study): A randomised trial and cost-effectiveness analysis,2,17,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,0.6652748639647588
20,Computer-aided X-ray screening for tuberculosis and HIV testing among adults with cough in Malawi (the PROSPECT study): A randomised trial and cost-effectiveness analysis,3,1,Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial,0.6379124254063405
20,Computer-aided X-ray screening for tuberculosis and HIV testing among adults with cough in Malawi (the PROSPECT study): A randomised trial and cost-effectiveness analysis,4,10,"Chlorhexidine oral rinses for symptomatic COPD: a randomised, blind, placebo-controlled preliminary study",0.6292046030646385
20,Computer-aided X-ray screening for tuberculosis and HIV testing among adults with cough in Malawi (the PROSPECT study): A randomised trial and cost-effectiveness analysis,5,11,"Two-year impact of community-based health
screening and parenting groups on child
development in Zambia: Follow-up to a
cluster-randomized controlled trial",0.6272115984721831
21,"Detection and initial management of
gestational diabetes through primary health
care services in Morocco: An effectivenessimplementation trial",1,30,Health insurance coverage with or without a nurse-led task shifting strategy for hypertension control: A pragmatic cluster randomized trial in Ghana,0.6752996228198211
21,"Detection and initial management of
gestational diabetes through primary health
care services in Morocco: An effectivenessimplementation trial",2,34,"Exercise Training and Weight Gain in Obese
Pregnant Women: A Randomized Controlled
Trial (ETIP Trial)",0.6717950631996453
21,"Detection and initial management of
gestational diabetes through primary health
care services in Morocco: An effectivenessimplementation trial",3,42,"Treatment of Periodontal Disease
and the Risk of Preterm Birth",0.6701456514639316
21,"Detection and initial management of
gestational diabetes through primary health
care services in Morocco: An effectivenessimplementation trial",4,11,"Two-year impact of community-based health
screening and parenting groups on child
development in Zambia: Follow-up to a
cluster-randomized controlled trial",0.6649489980499099
21,"Detection and initial management of
gestational diabetes through primary health
care services in Morocco: An effectivenessimplementation trial",5,27,Effectiveness of community-based health education and home support program to reduce blood pressure among patients with uncontrolled hypertension in Nepal: A cluster-randomized trial,0.6644130172739611
22,"Can recombinant human
thrombomodulin increase survival
among patients with severe septicinduced disseminated intravascular
coagulation: a single-centre, open-label,
randomised controlled trial",1,31,Exploratory data on the clinical efficacy of monoclonal antibodies against SARS-CoV-2 Omicron variant of concern,0.5863782075635506
22,"Can recombinant human
thrombomodulin increase survival
among patients with severe septicinduced disseminated intravascular
coagulation: a single-centre, open-label,
randomised controlled trial",2,3,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",0.5746324681768837
22,"Can recombinant human
thrombomodulin increase survival
among patients with severe septicinduced disseminated intravascular
coagulation: a single-centre, open-label,
randomised controlled trial",3,26,"Impact of the modality of mechanical ventilation
on bleeding during pituitary surgery
A single blinded randomized trial",0.5745322230127817
22,"Can recombinant human
thrombomodulin increase survival
among patients with severe septicinduced disseminated intravascular
coagulation: a single-centre, open-label,
randomised controlled trial",4,2,"Electronic health record alerts for acute kidney injury:
multicenter, randomized clinical trial",0.5604902506382927
22,"Can recombinant human
thrombomodulin increase survival
among patients with severe septicinduced disseminated intravascular
coagulation: a single-centre, open-label,
randomised controlled trial",5,18,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",0.558543350318409
